claim_id,claim_date,sale_id,repair_status
CL-25137,2024-08-08,KO-368944,In Progress
CL-29290,2024-07-27,TT-054407,Rejected
CL-8952,2024-10-18,BV-57390,Rejected
CL-41810,2024-03-25,FH-80703,Rejected
CL-93302,2024-04-29,WB-6387,Pending
CL-39317,2024-09-10,TP-606068,Pending
CL-8638,2024-03-09,RD-98907,Pending
CL-5036,2024-10-03,ZY-586488,Completed
CL-76218,2024-07-17,HH-66761,In Progress
CL-17457,2024-07-29,BT-072394,Completed
CL-4300,2024-03-15,WN-659545,In Progress
CL-47274,2024-07-16,BH-4375,Pending
CL-75060,2024-10-08,WN-2693,Completed
CL-97784,2024-06-07,TI-9656,Pending
CL-37018,2024-06-05,TN-895967,Completed
CL-86257,2024-03-12,GS-86111,Completed
CL-1055,2024-04-21,KV-33288,Pending
CL-68769,2024-07-11,PX-085809,In Progress
CL-27456,2024-06-06,NS-179638,Completed
CL-85973,2024-07-08,CV-5243,In Progress
CL-46562,2024-01-19,JI-4021,In Progress
CL-1609,2024-05-26,RU-11749,Completed
CL-1293,2024-07-02,DK-320833,Pending
CL-685,2024-06-05,PZ-0994,Rejected
CL-61191,2024-10-12,JN-72747,In Progress
CL-75987,2024-07-29,LH-9179,Completed
CL-8829,2024-03-03,PM-2386,Rejected
CL-24668,2024-02-22,JC-12525,Pending
CL-98628,2024-03-06,VA-629786,Completed
CL-14641,2024-10-19,ZS-6565,In Progress
CL-3674,2024-08-05,KP-73659,Rejected
CL-17936,2024-03-14,OR-5565,Rejected
CL-7297,2024-11-08,JV-6697,Rejected
CL-64836,2024-04-09,VU-936748,Pending
CL-81103,2024-01-12,LC-0200,Pending
CL-7821,2024-04-21,LB-90067,Completed
CL-41367,2024-04-29,BY-6973,Rejected
CL-72262,2024-10-02,JW-090556,Rejected
CL-1506,2024-02-23,WQ-38884,Completed
CL-3219,2024-06-02,JS-891906,Rejected
CL-22069,2024-11-11,IB-1522,Rejected
CL-5902,2024-01-22,TE-69925,In Progress
CL-79456,2024-02-15,OG-5157,Rejected
CL-63454,2024-09-13,GX-762341,In Progress
CL-8257,2024-04-20,BD-03305,Rejected
CL-9599,2024-03-30,AC-951903,Rejected
CL-98580,2024-05-23,HL-595810,Rejected
CL-5692,2024-10-05,PW-0009,Completed
CL-56665,2024-10-16,EM-50932,Pending
CL-8985,2024-05-29,IM-404758,Completed
CL-23414,2024-05-18,JU-894929,In Progress
CL-69946,2024-02-26,LC-7224,In Progress
CL-23286,2024-01-12,DQ-8915,Completed
CL-83690,2024-06-18,TB-8793,In Progress
CL-51514,2024-03-07,UD-24594,In Progress
CL-919,2024-06-10,XG-283245,In Progress
CL-42995,2024-01-11,JC-59316,In Progress
CL-24347,2024-03-20,XB-347401,Pending
CL-393,2024-08-10,TH-36165,Completed
CL-9287,2024-04-28,EZ-871828,Pending
CL-2847,2024-02-21,FR-798184,Rejected
CL-87261,2024-05-24,OW-3482,Pending
CL-45821,2024-05-21,PT-212592,Rejected
CL-9413,2024-08-07,TP-9119,Pending
CL-27966,2024-05-06,CO-027146,Completed
CL-33632,2024-03-08,LU-73502,In Progress
CL-8501,2024-08-20,OR-515757,Completed
CL-52713,2024-10-28,ZE-267205,In Progress
CL-97999,2024-05-30,GC-801559,In Progress
CL-9109,2024-08-03,EH-432112,Rejected
CL-58146,2024-04-12,CC-9148,In Progress
CL-36962,2024-04-04,CE-8911,In Progress
CL-62057,2024-08-13,TG-8642,Completed
CL-2567,2024-08-25,HA-078709,Completed
CL-76617,2024-03-05,AW-16505,Pending
CL-38227,2024-07-30,CK-53125,Pending
CL-73749,2024-05-12,GF-89200,Completed
CL-13386,2024-05-03,MC-092013,In Progress
CL-90975,2024-05-01,AE-922857,Pending
CL-21256,2024-09-01,KQ-87778,Rejected
CL-49976,2024-03-11,EB-046224,Pending
CL-51825,2024-01-14,RM-81603,Rejected
CL-33717,2024-03-13,PX-36970,In Progress
CL-26237,2024-06-15,XW-65355,In Progress
CL-69158,2024-09-07,CN-090119,Rejected
CL-41293,2024-09-20,PW-7170,Rejected
CL-19280,2024-04-06,GJ-68756,Pending
CL-84777,2024-07-29,MW-01128,In Progress
CL-535,2024-06-03,FO-516310,Rejected
CL-98998,2024-07-26,RL-22013,In Progress
CL-54733,2024-04-08,XS-40026,Pending
CL-73519,2024-08-17,IG-698723,Completed
CL-8860,2024-08-18,GL-12131,Pending
CL-21740,2024-01-28,GM-720624,Completed
CL-69638,2024-10-02,YT-6252,In Progress
CL-71614,2024-01-13,QI-121888,In Progress
CL-88371,2024-09-03,WH-88961,Completed
CL-8814,2024-01-05,ZK-52198,Completed
CL-48166,2024-02-22,YL-143047,Pending
CL-67004,2024-08-24,LZ-19273,Completed
CL-79339,2024-09-12,JY-7233,Completed
CL-68543,2024-01-24,MQ-57845,Rejected
CL-36203,2024-05-24,BL-2785,In Progress
CL-91329,2024-05-17,JY-52922,Rejected
CL-68509,2024-09-30,QU-1198,Completed
CL-56329,2024-01-22,UP-157299,Rejected
CL-8549,2024-02-06,YW-448639,Pending
CL-39744,2024-05-31,LY-0648,Rejected
CL-1029,2024-02-16,SJ-718256,In Progress
CL-40983,2024-05-18,FN-99245,In Progress
CL-96282,2024-03-24,LN-916656,Pending
CL-6414,2024-01-21,MT-230959,In Progress
CL-17096,2024-01-06,NZ-6755,In Progress
CL-89440,2024-08-01,OE-770610,Rejected
CL-6068,2024-01-09,GF-7553,In Progress
CL-8298,2024-07-11,CM-499270,In Progress
CL-24183,2024-08-27,HE-54237,In Progress
CL-21193,2024-02-28,MH-023055,In Progress
CL-16045,2024-06-21,LW-437767,In Progress
CL-26262,2024-07-23,FX-577562,Rejected
CL-8191,2024-01-26,GE-91003,In Progress
CL-2901,2024-08-07,ST-280341,Completed
CL-22162,2024-10-15,MW-20879,Pending
CL-98904,2024-02-05,RT-395227,In Progress
CL-1794,2024-02-20,YQ-01104,Completed
CL-21415,2024-06-06,TD-556388,In Progress
CL-20043,2024-11-02,LW-027207,Rejected
CL-75130,2024-07-06,PE-3574,Pending
CL-42916,2024-09-10,EY-859684,Rejected
CL-72102,2024-05-25,PN-904435,Completed
CL-36208,2024-08-23,GL-80813,Completed
CL-41575,2024-05-11,PB-37211,Rejected
CL-17265,2024-07-16,UC-17376,Pending
CL-62085,2024-07-25,ZC-2991,In Progress
CL-4128,2024-01-24,DH-71094,Completed
CL-5482,2024-03-17,EB-56311,Pending
CL-15071,2024-05-15,KM-326534,Pending
CL-1484,2024-03-27,SS-7612,In Progress
CL-10615,2024-06-18,OO-35271,In Progress
CL-11837,2024-01-20,UO-55112,Completed
CL-28345,2024-08-25,OY-1970,Completed
CL-35883,2024-03-12,SQ-183371,Completed
CL-3446,2024-01-30,YN-7778,Completed
CL-72016,2024-07-01,YH-97225,In Progress
CL-4741,2024-08-12,AU-5119,In Progress
CL-27821,2024-07-01,FE-0915,Pending
CL-98789,2024-02-26,VY-101842,Completed
CL-41561,2024-09-19,OE-5333,Pending
CL-6571,2024-06-29,KH-48512,Pending
CL-6743,2024-09-28,LD-2524,Rejected
CL-71017,2024-10-18,XT-96168,In Progress
CL-3864,2024-10-15,TV-9720,Rejected
CL-67054,2024-02-07,EY-33903,In Progress
CL-60438,2024-10-29,GN-973551,Completed
CL-63616,2024-01-01,SR-393662,In Progress
CL-8404,2024-09-14,BA-47608,Rejected
CL-47846,2024-05-29,CQ-645946,Completed
CL-84723,2024-03-09,ZM-466203,In Progress
CL-81111,2024-04-24,RG-336222,Rejected
CL-2443,2024-06-27,BZ-823396,Pending
CL-98527,2024-02-03,KT-21575,In Progress
CL-12284,2024-06-07,IC-731650,Completed
CL-5516,2024-11-03,HI-499946,Completed
CL-96482,2024-09-06,DO-18372,Completed
CL-91276,2024-05-13,FH-60433,Rejected
CL-74331,2024-04-15,ER-66039,Pending
CL-47491,2024-08-05,WU-1382,In Progress
CL-76339,2024-03-06,IF-39721,In Progress
CL-87750,2024-09-11,GT-674603,Completed
CL-9512,2024-09-09,OU-6679,Rejected
CL-4691,2024-08-30,DH-3672,Rejected
CL-74678,2024-01-12,XH-7921,Pending
CL-5828,2024-02-05,BL-2757,Completed
CL-7138,2024-09-24,CB-74309,Completed
CL-5989,2024-07-27,GS-7836,Pending
CL-34705,2024-05-02,YC-501032,Rejected
CL-3964,2024-01-09,ZY-40597,Rejected
CL-2294,2024-10-14,XB-78686,In Progress
CL-20795,2024-05-13,XI-344463,Pending
CL-8958,2024-01-18,AD-4722,In Progress
CL-94062,2024-08-02,LR-6820,Pending
CL-28317,2024-02-05,BR-4285,Pending
CL-58217,2024-08-17,VV-004928,Pending
CL-31817,2024-01-22,OZ-008148,In Progress
CL-56118,2024-07-26,ZF-6452,In Progress
CL-68612,2024-07-13,AJ-7232,Rejected
CL-82495,2024-09-19,QW-166439,Pending
CL-74585,2024-02-27,QX-30267,Rejected
CL-70746,2024-05-19,TG-61936,Pending
CL-8957,2024-02-01,GG-8280,Pending
CL-94032,2024-09-03,OA-5037,Pending
CL-3058,2024-10-29,ZO-9616,Rejected
CL-8743,2024-06-27,OT-1011,Pending
CL-65618,2024-02-16,YX-42510,In Progress
CL-9817,2024-09-26,DU-865809,In Progress
CL-6547,2024-04-29,NW-5535,Completed
CL-32596,2024-03-23,YW-87756,Rejected
CL-6973,2024-08-03,SQ-562707,Rejected
CL-5585,2024-03-25,LZ-311220,In Progress
CL-13914,2024-01-22,UM-84500,Completed
CL-32895,2024-10-30,XB-04028,In Progress
CL-7404,2024-01-02,TP-905984,Rejected
CL-30162,2024-06-03,JA-9184,Pending
CL-71394,2024-08-08,UQ-33370,Pending
CL-34914,2024-07-03,AF-26249,Pending
CL-60909,2024-04-19,GS-068921,In Progress
CL-59065,2024-03-25,IK-11215,Pending
CL-59417,2024-08-21,WH-9016,Completed
CL-9520,2024-04-08,VG-0285,Pending
CL-50146,2024-01-10,PX-118008,In Progress
CL-6107,2024-08-01,EN-2152,Rejected
CL-44322,2024-08-27,CG-31971,Rejected
CL-97551,2024-05-09,KT-60627,In Progress
CL-71607,2024-09-03,QU-416163,Completed
CL-35205,2024-01-23,JK-65815,In Progress
CL-57832,2024-01-12,XB-4831,Completed
CL-17320,2024-04-13,ME-88035,Rejected
CL-97259,2024-10-06,WF-69261,Completed
CL-10198,2024-08-26,EJ-171979,In Progress
CL-516,2024-07-24,UJ-721814,Pending
CL-2282,2024-04-26,TM-1052,Completed
CL-1889,2024-03-31,EJ-09491,Pending
CL-98511,2024-04-08,EQ-279154,Pending
CL-6470,2024-08-24,XK-5157,Pending
CL-76257,2024-08-16,LL-0684,Rejected
CL-62543,2024-07-18,GS-1098,In Progress
CL-13372,2024-07-27,RW-748927,Rejected
CL-65680,2024-06-09,BO-081998,Completed
CL-399,2024-02-01,TT-727588,Pending
CL-94168,2024-01-28,PY-93767,Completed
CL-50877,2024-04-12,SA-60856,Completed
CL-94836,2024-10-19,QR-78393,In Progress
CL-98852,2024-10-09,SF-3714,Completed
CL-20237,2024-01-20,VC-754499,Pending
CL-76547,2024-04-18,BU-64659,Completed
CL-9299,2024-10-08,LU-8063,Pending
CL-37816,2024-05-10,CR-713931,Rejected
CL-64417,2024-02-01,CH-7009,Completed
CL-89579,2024-08-06,QN-6064,Rejected
CL-88259,2024-04-14,SP-91916,In Progress
CL-9448,2024-07-19,WF-63421,Pending
CL-72861,2024-09-21,WH-768592,Rejected
CL-53704,2024-09-03,CX-6975,Completed
CL-9289,2024-05-06,JC-31870,Rejected
CL-71992,2024-03-18,MF-0954,In Progress
CL-6643,2024-01-18,KQ-157617,In Progress
CL-60812,2024-06-09,MR-08726,In Progress
CL-92696,2024-02-11,YX-14389,Completed
CL-49784,2024-10-02,AT-16127,Completed
CL-40994,2024-01-08,IF-44037,Rejected
CL-2793,2024-03-19,CN-382381,In Progress
CL-15073,2024-03-17,IR-556144,Pending
CL-86302,2024-10-21,PT-143411,Pending
CL-42799,2024-04-18,LT-3047,Rejected
CL-88946,2024-02-02,PK-516995,Pending
CL-39806,2024-05-06,PG-0186,Pending
CL-9517,2024-05-10,WS-460092,Rejected
CL-54745,2024-06-08,QO-1965,Completed
CL-85890,2024-05-25,BR-5445,Rejected
CL-51124,2024-06-02,IF-573396,Pending
CL-13264,2024-06-01,DB-50046,Pending
CL-60413,2024-05-01,YQ-25380,Completed
CL-71711,2024-08-23,TZ-40933,Rejected
CL-75152,2024-01-22,HC-85533,Completed
CL-7300,2024-08-22,WE-4834,Pending
CL-83676,2024-08-11,JQ-3519,Pending
CL-99054,2024-03-30,HO-8590,In Progress
CL-9918,2024-05-02,UI-25013,Completed
CL-52122,2024-04-06,SB-565499,Rejected
CL-5245,2024-06-22,GY-49896,Pending
CL-42030,2024-08-10,TP-15186,In Progress
CL-59394,2024-04-21,NY-8710,Completed
CL-77491,2024-11-07,TB-79965,Rejected
CL-74967,2024-01-02,GR-5145,In Progress
CL-5057,2024-01-12,TM-57068,In Progress
CL-86593,2024-08-30,UE-3723,Rejected
CL-43698,2024-02-20,ZY-51228,Rejected
CL-36273,2024-06-02,KE-926667,Pending
CL-48279,2024-09-19,JG-36757,In Progress
CL-31361,2024-09-16,QV-834522,Rejected
CL-1787,2024-03-20,QD-2156,In Progress
CL-58798,2024-01-11,UE-76583,In Progress
CL-40335,2024-09-04,ZW-5345,Rejected
CL-20215,2024-05-14,GJ-518482,Pending
CL-67997,2024-07-03,LL-84505,Rejected
CL-8892,2024-10-11,EL-57093,Pending
CL-33059,2024-01-24,VG-0380,Pending
CL-52190,2024-10-22,HN-05927,In Progress
CL-28359,2024-09-14,TZ-3620,Rejected
CL-5788,2024-07-11,CG-7562,Rejected
CL-6275,2024-11-03,BA-1480,Rejected
CL-40829,2024-05-25,SH-47140,Rejected
CL-66411,2024-07-01,YM-951356,Pending
CL-4602,2024-09-26,GP-9720,Completed
CL-21439,2024-03-21,BW-4357,In Progress
CL-56512,2024-10-16,PQ-92670,Rejected
CL-5802,2024-10-13,KJ-03018,Completed
CL-3729,2024-05-08,AI-7234,Rejected
CL-81831,2024-07-22,GO-291414,Completed
CL-4706,2024-04-16,RT-910382,Rejected
CL-31671,2024-05-01,EX-81627,Rejected
CL-25672,2024-01-18,MD-921300,Rejected
CL-62139,2024-09-30,HG-26739,Pending
CL-49470,2024-10-17,BQ-75895,In Progress
CL-584,2024-07-07,GI-69447,Completed
CL-5460,2024-01-07,EO-682140,Pending
CL-68779,2024-06-14,HH-7987,In Progress
CL-70237,2024-11-07,LF-2039,Completed
CL-25538,2024-01-19,YR-88605,Rejected
CL-37202,2024-09-25,SA-07786,In Progress
CL-24865,2024-02-05,YS-09530,Completed
CL-96762,2024-02-15,TR-74348,Completed
CL-36437,2024-07-12,HA-7511,In Progress
CL-7592,2024-01-14,FE-9365,Completed
CL-22297,2024-04-27,EG-250831,Rejected
CL-24823,2024-03-07,MB-00191,In Progress
CL-1533,2024-08-15,CI-87843,In Progress
CL-5310,2024-08-21,ON-755437,Rejected
CL-39123,2024-04-08,FX-0045,Pending
CL-55971,2024-10-13,OO-076198,Pending
CL-2215,2024-04-30,NO-122079,In Progress
CL-80839,2024-04-04,UX-6241,Completed
CL-31162,2024-10-25,JZ-138192,In Progress
CL-49218,2024-07-20,DL-8464,Completed
CL-72228,2024-03-27,GX-701118,Completed
CL-61170,2024-01-03,WA-24339,Completed
CL-26942,2024-07-02,UV-0892,Pending
CL-6757,2024-07-01,GW-068111,Pending
CL-56566,2024-06-30,LS-1813,In Progress
CL-18273,2024-09-15,CI-3677,Rejected
CL-48114,2024-05-14,HL-42164,In Progress
CL-52194,2024-06-24,RB-49768,Pending
CL-90548,2024-04-27,KK-69900,Rejected
CL-70593,2024-07-26,IS-0966,In Progress
CL-5849,2024-08-12,MP-60141,In Progress
CL-66188,2024-01-07,ZT-56191,Rejected
CL-75320,2024-10-21,JR-831258,Rejected
CL-46203,2024-03-02,VJ-128923,In Progress
CL-5934,2024-09-10,PL-050131,Rejected
CL-15650,2024-05-19,EW-0462,In Progress
CL-3938,2024-09-07,HE-086028,In Progress
CL-471,2024-10-08,YZ-3498,Completed
CL-2156,2024-05-01,DU-872388,Pending
CL-52786,2024-04-05,AO-491860,In Progress
CL-92795,2024-02-27,FE-02107,Pending
CL-44005,2024-09-15,XL-375829,Pending
CL-29161,2024-10-22,BM-82380,Rejected
CL-9835,2024-11-05,TI-04890,Completed
CL-60248,2024-10-28,EC-327955,In Progress
CL-29894,2024-03-08,GU-56433,Pending
CL-39943,2024-06-24,OU-92466,Rejected
CL-1399,2024-01-04,UF-94167,Rejected
CL-45614,2024-02-04,UG-93635,In Progress
CL-9322,2024-03-26,AN-148392,Pending
CL-9884,2024-05-15,FL-63687,Pending
CL-7192,2024-03-01,GA-32506,Completed
CL-4756,2024-01-12,JD-700233,Completed
CL-48413,2024-02-14,JI-00021,Completed
CL-86380,2024-10-18,UM-625269,Completed
CL-56949,2024-08-20,MJ-8161,Pending
CL-5182,2024-03-24,GV-53568,Completed
CL-35988,2024-07-27,FR-220082,Rejected
CL-7635,2024-11-08,RW-113750,Completed
CL-16221,2024-05-11,LP-966198,In Progress
CL-2766,2024-04-10,NX-48897,Completed
CL-35559,2024-09-21,NI-54145,Completed
CL-81012,2024-05-02,QU-9848,In Progress
CL-8954,2024-05-01,VT-75122,Completed
CL-89144,2024-02-17,FT-611396,Completed
CL-819,2024-05-15,MM-39005,Completed
CL-26358,2024-05-02,ZT-1154,Pending
CL-85980,2024-06-21,RR-208941,Pending
CL-35815,2024-03-04,SK-8008,In Progress
CL-44539,2024-08-27,VY-605351,Rejected
CL-57623,2024-02-02,PV-77643,In Progress
CL-74593,2024-03-22,YK-3109,In Progress
CL-48678,2024-09-01,UH-047587,Completed
CL-6967,2024-09-12,FX-50792,Completed
CL-7766,2024-04-29,GE-873447,Completed
CL-9719,2024-03-14,YY-771079,In Progress
CL-6901,2024-05-30,RF-02632,Pending
CL-6794,2024-03-11,BF-6481,In Progress
CL-1647,2024-06-23,PX-457326,Completed
CL-1480,2024-06-27,NT-6881,Completed
CL-9386,2024-04-27,HV-770241,Rejected
CL-1948,2024-07-02,II-874183,Rejected
CL-24462,2024-01-18,AU-30723,Completed
CL-7227,2024-08-18,YV-10606,Completed
CL-79703,2024-02-05,JR-2017,Rejected
CL-52409,2024-03-11,VV-09440,Pending
CL-53217,2024-02-09,NU-15055,Rejected
CL-6660,2024-02-15,YC-9789,Pending
CL-86885,2024-05-30,IY-73640,Completed
CL-8754,2024-07-15,EJ-3083,In Progress
CL-14444,2024-04-14,GV-17390,In Progress
CL-99665,2024-10-10,SN-705087,Pending
CL-98207,2024-04-29,OK-7533,Rejected
CL-80583,2024-04-27,JH-5678,Rejected
CL-9279,2024-01-30,CU-618476,Rejected
CL-80449,2024-03-15,LS-0655,Pending
CL-63892,2024-03-10,IN-98266,Completed
CL-64091,2024-07-02,PR-75791,Pending
CL-64589,2024-05-13,KB-435834,Pending
CL-62588,2024-10-20,XC-68646,Pending
CL-66790,2024-02-25,IQ-720152,In Progress
CL-35487,2024-08-11,GL-80904,In Progress
CL-26309,2024-07-31,JO-20802,In Progress
CL-94296,2024-03-18,FC-5524,In Progress
CL-84204,2024-01-03,BJ-72837,Pending
CL-44733,2024-05-27,GL-9870,Pending
CL-1817,2024-06-14,OY-4033,Pending
CL-72385,2024-01-29,IB-7923,Completed
CL-5909,2024-02-17,BI-61034,Completed
CL-25916,2024-02-19,HS-3726,Rejected
CL-66850,2024-06-26,QL-4500,Rejected
CL-85875,2024-02-28,UH-75605,Completed
CL-22032,2024-04-24,OQ-75838,Completed
CL-90037,2024-05-30,KT-133535,In Progress
CL-7245,2024-10-30,GN-433450,Pending
CL-9493,2024-05-12,JN-13267,Completed
CL-50449,2024-03-10,WT-3367,Rejected
CL-77479,2024-01-11,MG-35242,In Progress
CL-7542,2024-11-10,GR-7746,Rejected
CL-75621,2024-05-13,UP-883461,Rejected
CL-4708,2024-05-15,SL-094101,In Progress
CL-7452,2024-09-27,IJ-434191,Completed
CL-1674,2024-09-23,JB-778180,Pending
CL-22939,2024-11-12,QF-433293,Pending
CL-71020,2024-02-18,XZ-7619,Rejected
CL-62166,2024-10-28,ZC-1109,Completed
CL-74642,2024-02-27,WH-65621,In Progress
CL-3912,2024-08-28,AM-7799,Pending
CL-16198,2024-01-18,XB-036075,Pending
CL-3452,2024-06-04,WL-6767,Pending
CL-5699,2024-04-26,OL-0639,Rejected
CL-90781,2024-01-26,GA-8183,In Progress
CL-52752,2024-02-02,TD-7777,Rejected
